org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
MOZILLA,ambient-boxen/modules/ambient_mozilla/manifests/config.pp,0,0,7,1,0,0,0,1,2,0,0,0
MOZILLA,ambient-boxen/modules/ambient_mozilla/manifests/init.pp,0,3,40,2,1,4,16,11,1,0,0,0
MOZILLA,ambient-boxen/modules/projects/manifests/all.pp,0,0,3,0,0,0,0,0,0,0,0,0
MOZILLA,ambient-boxen/manifests/site.pp,0,3,88,5,1,8,16,25,5,0,0,0
MOZILLA,badg.us/puppet/manifests/vagrant.pp,0,0,29,0,0,1,5,5,5,0,0,0
MOZILLA,badg.us/puppet/manifests/classes/python.pp,0,0,34,3,2,0,9,20,1,0,0,0
MOZILLA,badg.us/puppet/manifests/classes/playdoh.pp,0,3,39,4,1,0,15,20,4,0,0,0
MOZILLA,badg.us/puppet/manifests/classes/custom.pp,0,0,3,0,0,0,0,0,1,0,0,0
MOZILLA,badg.us/puppet/manifests/classes/apache.pp,0,6,61,4,4,0,22,24,2,0,2,0
MOZILLA,badg.us/puppet/manifests/classes/init.pp,0,0,25,1,2,0,6,11,4,0,0,0
MOZILLA,badg.us/puppet/manifests/classes/mysql.pp,0,0,26,1,4,0,6,5,1,0,0,0
MOZILLA,badg.us/puppet/manifests/classes/memcached.pp,0,0,14,1,2,0,4,1,3,0,0,0
MOZILLA,BanHammer/puppet/manifests/vagrant.pp,0,0,29,0,0,1,5,5,5,0,0,0
MOZILLA,BanHammer/puppet/manifests/classes/python.pp,0,0,34,3,2,0,9,20,1,0,0,0
MOZILLA,BanHammer/puppet/manifests/classes/playdoh.pp,0,3,39,4,1,0,15,20,4,0,0,0
MOZILLA,BanHammer/puppet/manifests/classes/custom.pp,0,0,3,0,0,0,0,0,1,0,0,0
MOZILLA,BanHammer/puppet/manifests/classes/apache.pp,0,6,61,4,4,0,22,24,2,0,2,0
MOZILLA,BanHammer/puppet/manifests/classes/init.pp,0,0,25,1,2,0,6,11,4,0,0,0
MOZILLA,BanHammer/puppet/manifests/classes/mysql.pp,0,0,26,1,4,0,6,5,1,0,0,0
MOZILLA,BanHammer/puppet/manifests/classes/memcached.pp,0,0,14,1,2,0,4,1,3,0,0,0
MOZILLA,bramble/puppet/manifests/vagrant.pp,0,0,29,0,0,1,5,5,5,0,0,0
MOZILLA,bramble/puppet/manifests/classes/python.pp,0,0,34,3,2,0,9,20,1,0,0,0
MOZILLA,bramble/puppet/manifests/classes/playdoh.pp,0,3,39,4,1,0,15,20,4,0,0,0
MOZILLA,bramble/puppet/manifests/classes/custom.pp,0,0,3,0,0,0,0,0,1,0,0,0
