org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
OPENSTACK,devstack-vagrant/puppet/modules/devstack/manifests/init.pp,1,4,49,3,0,0,18,18,2,0,2,0
OPENSTACK,devstack-vagrant/puppet/modules/grenade/manifests/init.pp,1,3,41,2,0,0,13,13,9,0,1,0
OPENSTACK,devstack-vagrant/puppet/modules/base/manifests/init.pp,0,1,44,2,2,0,12,15,2,0,1,0
OPENSTACK,devstack-vagrant/puppet/modules/user/manifests/create.pp,0,3,65,0,7,0,24,10,2,0,3,1
OPENSTACK,devstack-vagrant/puppet/modules/user/manifests/stack.pp,0,2,36,0,0,0,18,12,2,0,2,0
OPENSTACK,devstack-vagrant/puppet/modules/user/manifests/vagrant.pp,0,3,31,0,2,0,14,12,2,0,3,0
OPENSTACK,devstack-vagrant/puppet/manifests/cleanup.pp,0,2,19,0,2,0,7,8,0,0,0,0
OPENSTACK,devstack-vagrant/puppet/manifests/default.pp,0,0,13,0,0,4,1,8,0,0,0,0
OPENSTACK,puppet-aodh/manifests/config.pp,0,0,34,0,0,1,2,6,25,0,0,0
OPENSTACK,puppet-aodh/manifests/cors.pp,0,0,57,0,0,2,6,14,38,0,0,0
OPENSTACK,puppet-aodh/manifests/coordination.pp,0,0,59,0,2,1,6,15,35,0,0,0
OPENSTACK,puppet-aodh/manifests/healthcheck.pp,0,2,60,0,0,1,7,16,39,0,0,0
OPENSTACK,puppet-aodh/manifests/evaluator.pp,0,0,74,0,4,2,13,22,32,0,0,0
OPENSTACK,puppet-aodh/manifests/db.pp,0,0,80,0,0,1,10,23,51,0,0,0
OPENSTACK,puppet-aodh/manifests/reports.pp,0,2,32,0,0,1,3,7,19,0,0,0
OPENSTACK,puppet-aodh/manifests/params.pp,0,0,55,0,0,1,0,37,2,0,0,0
OPENSTACK,puppet-aodh/manifests/policy.pp,0,2,83,0,0,2,12,25,48,0,0,0
OPENSTACK,puppet-aodh/manifests/api.pp,0,1,137,0,5,5,20,40,58,0,0,0
OPENSTACK,puppet-aodh/manifests/client.pp,0,0,22,0,6,3,3,5,8,0,0,0
OPENSTACK,puppet-aodh/manifests/expirer.pp,0,0,83,1,7,2,14,22,40,0,0,0
OPENSTACK,puppet-aodh/manifests/logging.pp,1,2,145,0,0,1,19,61,100,0,0,0
OPENSTACK,puppet-aodh/manifests/deps.pp,0,0,38,0,0,0,0,20,12,0,0,0
OPENSTACK,puppet-aodh/manifests/quota.pp,0,0,30,0,0,2,3,9,16,0,0,0
OPENSTACK,puppet-aodh/manifests/init.pp,0,3,295,0,3,2,40,84,191,0,0,0
OPENSTACK,puppet-aodh/manifests/service_credentials.pp,2,0,87,0,0,1,12,33,50,0,0,0
OPENSTACK,puppet-aodh/manifests/listener.pp,0,0,74,0,4,2,13,21,32,0,0,0
OPENSTACK,puppet-aodh/manifests/notifier.pp,0,0,69,0,4,2,12,18,29,0,0,0
OPENSTACK,puppet-aodh/manifests/wsgi/uwsgi.pp,0,0,40,0,0,1,3,9,23,0,0,0
OPENSTACK,puppet-aodh/manifests/wsgi/apache.pp,1,3,222,0,0,2,36,21,148,0,0,0
OPENSTACK,puppet-aodh/manifests/db/sync.pp,0,0,35,0,0,1,11,9,11,0,0,0
OPENSTACK,puppet-aodh/manifests/db/postgresql.pp,0,0,47,0,0,1,5,10,26,0,0,0
