org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
WIKIMEDIA,mediawiki-vagrant/puppet/modules/virtualenv/manifests/package.pp,0,0,60,0,0,0,11,6,32,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/virtualenv/manifests/environment.pp,1,3,80,2,6,0,14,13,37,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/virtualenv/manifests/init.pp,2,0,19,1,1,0,6,6,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/kartotherian/manifests/init.pp,1,0,14,0,0,0,4,7,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/dash.pp,0,3,51,6,1,0,17,21,4,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/drupal.pp,0,11,156,10,4,1,45,63,17,0,6,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/civicrm.pp,0,3,91,6,1,0,27,25,6,0,2,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/drush.pp,0,2,31,2,2,1,9,9,5,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/apache.pp,0,0,15,1,1,3,3,2,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/init.pp,1,0,92,2,0,6,8,48,26,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/crm/manifests/tools.pp,0,4,68,4,3,0,16,24,9,0,2,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/varnish/manifests/config.pp,0,5,48,1,0,1,11,11,23,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/varnish/manifests/backend.pp,0,0,38,0,0,0,5,7,27,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/varnish/manifests/init.pp,5,35,344,17,16,3,150,77,23,0,18,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/mailcatcher/manifests/init.pp,2,1,50,3,2,2,11,16,17,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/apt/manifests/ppa.pp,0,0,45,1,3,0,2,14,23,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/apt/manifests/repository.pp,0,6,98,0,6,0,21,27,40,0,2,0
